19.1096	0.174911	1.31534e7
18.6237	0.179658	1.1395e7
18.173	0.184584	9.87314e6
17.7544	0.189694	8.55506e6
17.3631	0.195026	7.40734e6
16.995	0.200632	6.40224e6
16.6477	0.206554	5.52088e6
16.3199	0.212825	4.74879e6
16.0109	0.219475	4.07398e6
15.72	0.226531	3.48593e6
15.4469	0.234019	2.9752e6
15.191	0.241961	2.53315e6
14.9521	0.25038	2.15185e6
14.7296	0.2593	1.8241e6
14.523	0.268741	1.54326e6
14.3319	0.278724	1.30335e6
14.1558	0.289269	1.09901e6
13.9939	0.300398	925390
13.8459	0.312128	778238
13.7111	0.32448	653787
13.5888	0.337472	548733
13.4785	0.351123	460208
13.3796	0.365451	385725
13.2915	0.380473	323139
13.2136	0.396207	270609
13.1453	0.412668	226561
13.0861	0.429872	189658
13.0355	0.447835	158759
12.9929	0.46657	132903
12.9579	0.48609	111274
12.9299	0.506409	93186.6
12.9084	0.527536	78063.6
12.8932	0.549482	65419.9
12.8837	0.572256	54848.8
12.8795	0.595864	46010
12.8802	0.620313	38617.7
12.8856	0.645606	32433.8
12.8951	0.671746	27258.8
12.9085	0.698733	22926.8
12.9255	0.726566	19298.4
12.9457	0.755241	16257.8
12.9688	0.784753	13708.4
12.9946	0.815094	11569.5
13.0228	0.846254	9773.77
13.0531	0.878221	8265.09
13.0853	0.91098	6996.5
13.1191	0.944514	5929.02
13.1542	0.978803	5030.04
13.1906	1.01383	4272.21
13.2279	1.04956	3632.83
13.266	1.08597	3092.87
13.3046	1.12304	2636.43
13.3436	1.16072	2250.19
13.3828	1.19899	1922.99
13.422	1.23781	1645.55
13.461	1.27715	1410.02
13.4998	1.31695	1209.84
13.5381	1.35717	1039.53
13.5758	1.39778	894.453
13.6127	1.43873	770.72
13.6489	1.47996	665.076
13.684	1.52143	574.744
13.718	1.56308	497.424
13.7509	1.60487	431.153
13.7824	1.64674	374.281
13.8125	1.68863	325.407
13.8412	1.7305	283.356
13.8682	1.77229	247.125
13.8937	1.81394	215.868
13.9174	1.85538	188.872
13.9392	1.8965	165.553
13.959	1.93717	145.399
13.9767	1.97729	127.972
13.9921	2.01672	112.89
14.005	2.05535	99.8232
14.0154	2.09307	88.4924
14.023	2.12976	78.6538
14.0279	2.16533	70.1002
14.0299	2.19966	62.6541
14.0289	2.23266	56.1632
14.0249	2.26423	50.4969
14.0177	2.29428	45.5441
14.0073	2.32272	41.209
13.9938	2.34948	37.4102
13.9769	2.37447	34.0777
13.9569	2.39762	31.1518
13.9336	2.41886	28.581
13.907	2.43813	26.3205
13.8773	2.45546	24.3255
13.8444	2.47095	22.5555
13.8086	2.48469	20.9779
13.7699	2.49677	19.5657
13.7285	2.50727	18.2965
13.6846	2.51627	17.1515
13.6382	2.52386	16.1151
13.5895	2.5301	15.174
13.5387	2.53508	14.3167
13.486	2.53885	13.5338
13.4313	2.54149	12.8169
13.3749	2.54305	12.1588
13.3169	2.54358	11.5535
